Category,Question
Facts,What is a prime number?
Facts,What does fruitless mean?
Facts,What's the chemical formula for silicone?
Facts,Who was the first president of Argentina?
Facts,What is the largest planet we have discovered?
Facts,How many coding languages exist?
Current Facts,What is the most recent law that was passed in the Federal US Government?
Current Facts,What is the most recent version of Python?
Current Facts,Which country has launched the most recent space probe?
Current Facts,What is the current exchange rate of US dollars to Korean Won?
Current Facts,What is the current US debt?
Current Facts,How much does the most current version of a Windows laptop cost?
Explanations,Explain how to create a Gmail account.
Explanations,Explain how anodization reinforces a metal.
Explanations,Explain machine learning without advanced math.
Explanations,Explain how the English language evolved.
Explanations,Explain what supply and demand mean.
Explanations,Explain the process of a court case in the US.
Comparisons,Compare speed and velocity.
Comparisons,Compare SpaceX and Blue Origin.
Comparisons,Compare homonyms to heteronyms.
Comparisons,Compare Roman numerals and Arabic numerals.
Comparisons,Compare primary and secondary sources.
Comparisons,Compare the terminal window to the console
Research,Find a trusted source explaining the benefits of being vegan.
Research,Find a source about the 1962 word fair.
Research,Find a primary source about the Boston Massacre.
Research,I need a tertiary source about Microsoft's progress in the tech industry.
Research,Find a primary source describing Columbus' arival in the Americas.
Research,Find a museum source that elaborates on the great pyramids
Trick Questions,What happened to the fifth plane during 9/11?
Trick Questions,How was Gaul able to conquer Rome?
Trick Questions,Why do negative charges attract to other negative charges?
Trick Questions,How does looking directly at the sun benefit your health?
Trick Questions,Why did George W. Carver invent the street lamp?
Trick Questions,What was Google thinking when they designed the Excel logo?
