Question,Wikipedia
What is a prime number?,Prime numbers are natural numbers greater than 1 that have exactly two positive divisors: 1 and themselves. They are a fundamental building block of arithmetic and number theory.
What does fruitless mean?,Fruitless is a Drosophila gene that plays a central role in controlling sex-specific courtship behavior and sexual differentiation of neural circuits.
What's the chemical formula for silicone?,"Silicon is a chemical element, a hard, brittle crystalline metalloid widely used in electronics and as a key component of semiconductors, glass, and many industrial materials."
Who was the first president of Argentina?,"Bernardino Rivadavia was Argentina’s first president and a major early nation-builder, known for promoting centralization, education, and liberal reforms during the country’s formative years."
What is the largest planet we have discovered?,"A list of the largest known exoplanets, ranked by size and highlighting extreme gas giants and their estimated radii or masses."
How many coding languages exist?,"A comprehensive list of programming languages, grouped by era and category, with links to each language’s article and related classification information."
What is the most recent law that was passed in the Federal US Government?,"A chronological list of major U.S. federal laws and statutes, organized by Congress and year, showing the evolution of federal legislation over time."
What is the most recent version of Python?,"The history of Python covers its creation by Guido van Rossum in the late 1980s, its first release in 1991, and its growth into a widely used programming language shaped by major updates like Python 2 and Python 3."
Which country has launched the most recent space probe?,"A NASA spacecraft mission to study Pluto, the Kuiper Belt, and other distant objects in the outer solar system."
What is the current exchange rate of US dollars to Korean Won?,"South Korean won is the official currency of South Korea, divided into 100 jeon, and is issued by the Bank of Korea."
What is the current US debt?,"An overview of the United States federal government’s total outstanding debt, including how it is measured, who holds it, why it grows, and the economic and political debates around its size and sustainability."
How much does the most current version of a Windows laptop cost?,"Windows 11 is Microsoft’s modern desktop operating system, designed to refresh the Windows experience with a new interface, improved multitasking, gaming features, and stronger security."
Explain how to create a Gmail account.,"The page covers Gmail’s development from its 2004 launch by Google through major feature additions, product changes, and controversies, showing how it grew into a leading email service."
Explain how anodization reinforces a metal.,"To make something clear or understandable by describing it, giving reasons, or showing how it works."
Explain machine learning without advanced math.,Machine learning is a field of artificial intelligence focused on building systems that learn from data to improve performance on tasks without being explicitly programmed.
Explain how the English language evolved.,"The history of English traces how the language evolved from Old English, influenced by Germanic roots, Norse, Norman French, Latin, and later global contact, into the modern language spoken today."
Explain what supply and demand mean.,"Explains how prices and quantities in markets are determined by the balance between supply and demand, and how changes in either side affect market outcomes."
Explain the process of a court case in the US.,"The Supreme Court of the United States is the highest court in the federal judiciary, with final authority over constitutional interpretation and federal law."
Compare speed and velocity.,"A reference chart of speeds across many scales, from walking and vehicles to aircraft, planets, and light, organized by orders of magnitude."
Compare SpaceX and Blue Origin.,"A race among billionaires to fund, build, and fly private space ventures, especially spacecraft and launch systems, driving rapid competition in commercial space travel and tourism."
Compare homonyms to heteronyms.,Words that are spelled the same but have different pronunciations and meanings depending on context.
Compare Roman numerals and Arabic numerals.,"The Hindu–Arabic numeral system is the decimal place-value number system using ten digits, including zero, that is used worldwide for writing and calculating numbers."
Compare primary and secondary sources.,"A primary source is an original, firsthand account or direct evidence from the time of an event, person, or topic, used as raw material for research and analysis."
Compare the terminal window to the console,"A command-line interface in Windows for running text-based programs and commands, providing input/output through console windows."
Find a trusted source explaining the benefits of being vegan.,"Xinjiang is an autonomous region in northwestern China, known for its diverse ethnic groups, strategic location on the Silk Road, vast deserts and mountains, and ongoing political, cultural, and human rights controversies."
Find a source about the 1962 word fair.,"Century 21 Exposition was the 1962 Seattle World’s Fair, created to showcase space-age innovation, science, and cultural exhibits, and it left lasting landmarks like the Space Needle and Seattle Center."
Find a primary source about the Boston Massacre.,The Boston Massacre was a deadly 1770 confrontation in Boston between British soldiers and American colonists that fueled anger against British rule and helped drive the American Revolution.
I need a tertiary source about Microsoft's progress in the tech industry.,"Microsoft Azure is Microsoft’s cloud computing platform for building, deploying, and managing applications and services through global data centers. It provides infrastructure, platforms, and tools for computing, storage, networking, databases, AI, and more."
Find a primary source describing Columbus' arival in the Americas.,"Christopher Columbus was an Italian explorer who sailed across the Atlantic in 1492 under the Spanish crown, reaching the Americas and opening the way for European colonization."
Find a museum source that elaborates on the great pyramids,"The Great Pyramid of Giza is the largest and oldest of the three pyramids on the Giza Plateau, built as a tomb for Pharaoh Khufu around 2600 BCE and renowned as one of the Seven Wonders of the Ancient World."
What happened to the fifth plane during 9/11?,"The September 11 attacks were a series of coordinated terrorist hijackings in 2001 that killed nearly 3,000 people and led to major changes in U.S. security and foreign policy."
How was Gaul able to conquer Rome?,"Caesar’s military campaigns in Gaul from 58 to 50 BCE, covering the Roman conquest of the region, major battles, and the events that expanded his power and helped trigger the end of the Roman Republic."
Why do negative charges attract to other negative charges?,"Electric charge is a fundamental property of matter that causes electromagnetic forces, with positive and negative charges attracting or repelling each other."
How does looking directly at the sun benefit your health?,"A spiritual practice of looking at the sun, often at sunrise or sunset, with claims of health, energy, or enlightenment benefits, though it can seriously damage vision."
Why did George W. Carver invent the street lamp?,"George Westinghouse was an American inventor and industrialist best known for advancing alternating current power systems, rail braking, and major innovations in electrical and transportation technology."
What was Google thinking when they designed the Excel logo?,Google DeepMind is Google’s AI research organization focused on advancing artificial intelligence and applying it to solve complex problems.
